Interaction,Gene 1, Gene 2,Mechismo Score
HIST1H2BH	H2AFJ,HIST1H2BH,H2AFJ,2.743030
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
NOTCH1	JAG1,NOTCH1,JAG1,4.820000
HIST2H4B	HIST3H3,HIST2H4B,HIST3H3,1.730000
BTG2	CNOT8,BTG2,CNOT8,1.380000
HLA-DMB	HLA-DRB1,HLA-DMB,HLA-DRB1,3.450000
CD8A	HLA-A,CD8A,HLA-A,1.880000
TUBA4A	TUBB1,TUBA4A,TUBB1,3.783570
CGA	LHCGR,CGA,LHCGR,3.620000
GNAI1	RGS18,GNAI1,RGS18,1.830000
SRSF6	ELAVL1,SRSF6,ELAVL1,7.483670
UBC	UBE2Z,UBC,UBE2Z,2.330000
CCNE1	CDKN1A,CCNE1,CDKN1A,2.040000
RAD23B	UBA52,RAD23B,UBA52,7.230000
B2M	HLA-B,B2M,HLA-B,3.657490
EPHB6	EPHB3,EPHB6,EPHB3,2.540000
ITSN1	STON2,ITSN1,STON2,1.520000
GH1	PRLR,GH1,PRLR,1.540000
JAK1	PTPN11,JAK1,PTPN11,2.550970
SCN4A	CALM2,SCN4A,CALM2,3.770000
LILRA1	HLA-C,LILRA1,HLA-C,3.130000
CDK1	CCNA2,CDK1,CCNA2,2.683370
CAMK2D	CAMK2A,CAMK2D,CAMK2A,2.630000
RHOD	DIAPH2,RHOD,DIAPH2,1.050000
GRAP2	LCP2,GRAP2,LCP2,1.510000
HIST1H2BB	HIST2H4B,HIST1H2BB,HIST2H4B,1.610000
PAK1	ARHGEF7,PAK1,ARHGEF7,1.690000
NCBP2	NCBP1,NCBP2,NCBP1,1.060000
ELOC	SPSB1,ELOC,SPSB1,1.740000
TUBA1B	TUBB1,TUBA1B,TUBB1,2.380000
RAF1	YWHAZ,RAF1,YWHAZ,1.440000
SUMO3	SENP2,SUMO3,SENP2,1.630000
CDC7	CDK2,CDC7,CDK2,2.862350
EPHB6	EPHB1,EPHB6,EPHB1,2.270000
NECTIN1	NECTIN4,NECTIN1,NECTIN4,2.440000
ARHGDIA	RHOH,ARHGDIA,RHOH,2.964330
CCNE1	CDKN1B,CCNE1,CDKN1B,1.650000
GNAT3	RGS14,GNAT3,RGS14,3.810540
RPL4	RPL18,RPL4,RPL18,1.440000
ARF1	COPG2,ARF1,COPG2,5.654620
GNAI2	RGS7,GNAI2,RGS7,3.554150
POLR1C	POLR1D,POLR1C,POLR1D,1.470000
JAK2	YES1,JAK2,YES1,3.170000
JAK2	LYN,JAK2,LYN,5.580000
CDC27	CDC16,CDC27,CDC16,1.770000
GNG5	GNB4,GNG5,GNB4,1.630000
PPP2CB	PPP2R5B,PPP2CB,PPP2R5B,2.270000
GNAT3	RGS7,GNAT3,RGS7,3.810540
RAC3	TIAM1,RAC3,TIAM1,2.500000
IL2RB	IL2RG,IL2RB,IL2RG,2.460000
CDK4	CDKN1B,CDK4,CDKN1B,5.512860
RPS27A	UBE2E2,RPS27A,UBE2E2,2.290000
EPHB4	EFNB1,EPHB4,EFNB1,3.980000
H2AFX	HIST2H3C,H2AFX,HIST2H3C,3.510320
ERBB2	GRB7,ERBB2,GRB7,2.720000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
PPP1CC	PPP2R5E,PPP1CC,PPP2R5E,2.420000
HIST1H2AC	HIST1H2BH,HIST1H2AC,HIST1H2BH,1.410000
BMP2	BMPR2,BMP2,BMPR2,1.160000
RHOC	PLEKHG2,RHOC,PLEKHG2,3.753460
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
TNF	TNFRSF1A,TNF,TNFRSF1A,2.510000
GNB1	GNAS,GNB1,GNAS,3.720000
ILK	PARVB,ILK,PARVB,2.170000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
PARK2	UBE2V1,PARK2,UBE2V1,1.800000
FASN	AASDHPPT,FASN,AASDHPPT,2.440000
GINS1	GINS3,GINS1,GINS3,2.200000
GFRA3	ARTN,GFRA3,ARTN,4.150000
CD2BP2	TXNL4A,CD2BP2,TXNL4A,2.690000
CD3E	ZAP70,CD3E,ZAP70,2.370000
NOTCH2	RBPJ,NOTCH2,RBPJ,2.380000
HIST1H3E	H3F3A,HIST1H3E,H3F3A,1.320000
B2M	HLA-C,B2M,HLA-C,3.657490
GNG11	GNB2,GNG11,GNB2,2.530000
RAD51	DMC1,RAD51,DMC1,1.230000
CDKN2D	CDK6,CDKN2D,CDK6,1.700000
HIST2H4B	HIST1H2BN,HIST2H4B,HIST1H2BN,3.534290
RHOC	ARHGAP35,RHOC,ARHGAP35,1.250000
CHM	RAB6B,CHM,RAB6B,5.560000
GNG11	GNB1,GNG11,GNB1,1.410000
RHOC	ARHGEF1,RHOC,ARHGEF1,3.753460
HNRNPA0	ELAVL1,HNRNPA0,ELAVL1,7.483670
ACTB	ACTR2,ACTB,ACTR2,1.300000
AP2A1	AMPH,AP2A1,AMPH,3.190000
CDON	NEO1,CDON,NEO1,1.060000
RPS27A	UBE2Z,RPS27A,UBE2Z,2.330000
RPS6KA5	MAPK3,RPS6KA5,MAPK3,3.360000
GNAI2	S1PR1,GNAI2,S1PR1,4.608130
EPHB1	EFNB3,EPHB1,EFNB3,1.460000
POLR2D	POLR2G,POLR2D,POLR2G,2.170000
KEAP1	KLHL25,KEAP1,KLHL25,3.500000
CIT	RHOC,CIT,RHOC,5.690230
ADCY5	GNAI3,ADCY5,GNAI3,1.290000
UBA52	SMURF2,UBA52,SMURF2,1.430000
GRB2	CTTN,GRB2,CTTN,2.960000
RRAGB	RRAGD,RRAGB,RRAGD,1.630000
HLA-C	B2M,HLA-C,B2M,3.657490
LYN	ITK,LYN,ITK,3.180000
ATG7	MAP1LC3B,ATG7,MAP1LC3B,2.060000
CREBBP	IRF7,CREBBP,IRF7,1.810000
CDK4	CDKN1A,CDK4,CDKN1A,4.080000
RAB5A	RIN1,RAB5A,RIN1,1.900000
GNAQ	GNB4,GNAQ,GNB4,2.280000
UBC	UBE2D2,UBC,UBE2D2,1.870000
KRT86	KRT14,KRT86,KRT14,2.680000
HIST2H4B	HIST1H2AJ,HIST2H4B,HIST1H2AJ,2.280000
HIST2H4B	HIST1H2BM,HIST2H4B,HIST1H2BM,1.610000
H2AFX	HIST3H2BB,H2AFX,HIST3H2BB,4.455460
KLRK1	ULBP3,KLRK1,ULBP3,1.650000
SNRPG	SNRPD3,SNRPG,SNRPD3,2.070000
POLR1C	POLR1B,POLR1C,POLR1B,1.210000
RHOA	NET1,RHOA,NET1,5.447490
S100B	CAPZA1,S100B,CAPZA1,3.020000
PLCG2	SH3KBP1,PLCG2,SH3KBP1,1.850000
HIST2H4B	HIST1H2BL,HIST2H4B,HIST1H2BL,1.530000
JUP	CTNNA1,JUP,CTNNA1,1.300000
KLRK1	ULBP1,KLRK1,ULBP1,2.430000
NLGN2	NRXN2,NLGN2,NRXN2,1.940000
EFNA2	EPHA4,EFNA2,EPHA4,1.620000
KRT8	KRT17,KRT8,KRT17,1.320000
CD8A	HLA-B,CD8A,HLA-B,1.880000
UBE2L6	UBA52,UBE2L6,UBA52,7.230000
MAPK1	MAP2K1,MAPK1,MAP2K1,3.930000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
GNAI1	RGS1,GNAI1,RGS1,1.330000
HIST1H2AB	H3F3A,HIST1H2AB,H3F3A,1.500000
HLA-B	B2M,HLA-B,B2M,3.657490
RPS27A	USP15,RPS27A,USP15,2.330000
CAMK2B	CAMK2G,CAMK2B,CAMK2G,2.190000
KRAS	SOS1,KRAS,SOS1,1.290000
DIAPH2	CDC42,DIAPH2,CDC42,1.050000
NCOR1	NR1D1,NCOR1,NR1D1,2.509390
DHH	HHIP,DHH,HHIP,1.050000
IGF1	IGFBP2,IGF1,IGFBP2,2.290000
CD8A	HLA-A,CD8A,HLA-A,1.880000
CD8A	HLA-A,CD8A,HLA-A,1.880000
CD8A	HLA-A,CD8A,HLA-A,1.880000
PIK3R2	SYK,PIK3R2,SYK,1.620000
BAG4	HSPA4,BAG4,HSPA4,1.390000
USP8	RPS27A,USP8,RPS27A,2.650000
CD8A	HLA-A,CD8A,HLA-A,1.880000
UBB	PSMD4,UBB,PSMD4,4.190000
CD8A	HLA-A,CD8A,HLA-A,1.880000
HIST1H2BN	H2AFJ,HIST1H2BN,H2AFJ,4.957030
CD8A	HLA-A,CD8A,HLA-A,1.880000
GNA14	GRK2,GNA14,GRK2,1.390000
LYN	PLCG2,LYN,PLCG2,1.360000
EPHB4	EPHB1,EPHB4,EPHB1,2.270000
UBA52	STAM,UBA52,STAM,2.740000
COL4A3	COL4A6,COL4A3,COL4A6,1.170000
EPHB4	EPHA4,EPHB4,EPHA4,2.210000
UBE2N	LRSAM1,UBE2N,LRSAM1,2.310000
POLR1A	POLR1D,POLR1A,POLR1D,1.020000
RXRA	PPARA,RXRA,PPARA,3.290000
CD8A	HLA-A,CD8A,HLA-A,1.880000
USP8	UBA52,USP8,UBA52,2.330000
CD8A	HLA-A,CD8A,HLA-A,1.880000
VAV1	ITK,VAV1,ITK,1.950000
RPS12	RPS27A,RPS12,RPS27A,2.930000
HIST1H2AB	H2AFX,HIST1H2AB,H2AFX,1.380000
CD4	HLA-DRB1,CD4,HLA-DRB1,4.663300
CD247	ZAP70,CD247,ZAP70,1.140000
BAG2	HSPA8,BAG2,HSPA8,2.600000
SEC24B	SEC23A,SEC24B,SEC23A,1.450000
HERC4	UBE2E3,HERC4,UBE2E3,1.420000
LILRA1	HLA-C,LILRA1,HLA-C,3.419390
NCOA2	CREBBP,NCOA2,CREBBP,5.070000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
TIMP2	MMP14,TIMP2,MMP14,2.330000
EGFR	NRG1,EGFR,NRG1,2.840000
SYK	CRK,SYK,CRK,3.080000
NLGN4Y	NRXN1,NLGN4Y,NRXN1,2.559930
JAK2	FYN,JAK2,FYN,2.840000
UBE2D2	CBLB,UBE2D2,CBLB,2.140000
RHOC	ARHGAP1,RHOC,ARHGAP1,8.454330
HLA-DQA2	HLA-DQB2,HLA-DQA2,HLA-DQB2,1.850000
JAK2	LCK,JAK2,LCK,5.620000
HIST1H2BJ	HIST1H2AJ,HIST1H2BJ,HIST1H2AJ,1.070000
UBE2D1	CBLB,UBE2D1,CBLB,2.140000
RAF1	RAP1B,RAF1,RAP1B,3.598800
F2	SERPINA5,F2,SERPINA5,2.734830
H2AFV	HIST3H2BB,H2AFV,HIST3H2BB,3.315770
KRT31	KRT84,KRT31,KRT84,2.240000
GNB3	GNG8,GNB3,GNG8,3.240000
HIST2H2BE	HIST2H2AA4,HIST2H2BE,HIST2H2AA4,2.760000
GNAT2	GNB1,GNAT2,GNB1,2.900000
GNAQ	GNB2,GNAQ,GNB2,2.280000
HIST1H2BI	HIST1H2AJ,HIST1H2BI,HIST1H2AJ,1.070000
CD40	TRAF3,CD40,TRAF3,1.840000
RGS14	GNAI2,RGS14,GNAI2,2.270190
GNAQ	GNB1,GNAQ,GNB1,1.340000
RYR1	CALM2,RYR1,CALM2,1.100000
MAD2L1	MAD1L1,MAD2L1,MAD1L1,2.160000
H2AFZ	HIST1H2BL,H2AFZ,HIST1H2BL,1.530000
CLTA	CLTCL1,CLTA,CLTCL1,3.150000
RAC1	NGEF,RAC1,NGEF,4.054650
SPINT1	HGFAC,SPINT1,HGFAC,2.060000
HRAS	KRAS,HRAS,KRAS,2.210000
HLA-DQA2	HLA-DRB1,HLA-DQA2,HLA-DRB1,1.850000
SGK1	WNK1,SGK1,WNK1,2.600000
UBA52	POLI,UBA52,POLI,1.120000
KRT18	KRT83,KRT18,KRT83,1.370000
JAK2	SRC,JAK2,SRC,5.580000
H2AFZ	HIST1H2BN,H2AFZ,HIST1H2BN,1.880000
KRT18	KRT85,KRT18,KRT85,1.370000
LAMA1	HSPG2,LAMA1,HSPG2,3.130000
IL17RA	IL17F,IL17RA,IL17F,1.890000
GABARAPL2	ATG4B,GABARAPL2,ATG4B,3.610000
SNAP25	VAMP2,SNAP25,VAMP2,1.870000
CDK4	CCND1,CDK4,CCND1,3.570500
HIST2H2AC	HIST1H2BH,HIST2H2AC,HIST1H2BH,2.423030
UBA52	HUWE1,UBA52,HUWE1,1.530000
UBA52	ITSN2,UBA52,ITSN2,2.790000
UBA52	UBE2B,UBA52,UBE2B,7.230000
HIST2H2AC	HIST1H2AC,HIST2H2AC,HIST1H2AC,2.423030
MAP2K4	MAP3K5,MAP2K4,MAP3K5,2.140000
CHUK	IRAK1,CHUK,IRAK1,4.090500
EPHA2	EFNA5,EPHA2,EFNA5,1.850000
KRT17	KRT84,KRT17,KRT84,1.320000
CCND3	CDKN1B,CCND3,CDKN1B,1.650000
UBB	USP8,UBB,USP8,2.650000
LTBR	TRAF2,LTBR,TRAF2,3.520000
ADCY6	GNAI1,ADCY6,GNAI1,3.060000
GNAT2	GNB2,GNAT2,GNB2,2.900000
EIF4G1	EIF4A2,EIF4G1,EIF4A2,2.700000
EIF4A3	MAGOHB,EIF4A3,MAGOHB,3.180000
RAC1	TIAM1,RAC1,TIAM1,2.500000
ELAVL2	HNRNPA0,ELAVL2,HNRNPA0,4.207030
ADCY6	GNAS,ADCY6,GNAS,2.200000
EFNA2	EPHA5,EFNA2,EPHA5,1.530000
UBC	SMURF2,UBC,SMURF2,1.430000
RRAGA	RRAGC,RRAGA,RRAGC,2.540000
IL1RN	IL1R2,IL1RN,IL1R2,3.790000
CCND3	CDK6,CCND3,CDK6,1.930000
C3	C2,C3,C2,1.260000
KRT17	KRT81,KRT17,KRT81,1.320000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
HIST2H2BE	H2AFJ,HIST2H2BE,H2AFJ,2.760000
POLR1A	POLR1B,POLR1A,POLR1B,1.640000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
CTNNB1	TCF7,CTNNB1,TCF7,5.500000
UBE2L6	SMURF2,UBE2L6,SMURF2,1.240000
HRAS	RALGDS,HRAS,RALGDS,3.110000
POLR2A	POLR2B,POLR2A,POLR2B,2.871020
ANGPT2	TEK,ANGPT2,TEK,3.840000
HLA-B	B2M,HLA-B,B2M,3.657490
KRT18	KRT81,KRT18,KRT81,1.300000
FGF1	FGFR1,FGF1,FGFR1,1.730000
RGS5	GNAI2,RGS5,GNAI2,2.200000
KIT	PTPN11,KIT,PTPN11,3.896640
UBC	USP10,UBC,USP10,1.420000
DDX5	MAGOHB,DDX5,MAGOHB,3.240000
H2AFZ	HIST1H3E,H2AFZ,HIST1H3E,1.320000
PIK3R1	PTPN11,PIK3R1,PTPN11,2.090000
HIST1H2BI	HIST2H2AA4,HIST1H2BI,HIST2H2AA4,3.546960
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
TUBB4A	TUBA3E,TUBB4A,TUBA3E,2.080000
NTRK1	SHC1,NTRK1,SHC1,3.419390
CUL1	RNF7,CUL1,RNF7,1.120000
SMC1A	SMC3,SMC1A,SMC3,2.480000
GNAI3	GNB3,GNAI3,GNB3,3.080000
HERC2	RPS27A,HERC2,RPS27A,2.330000
GTF2F2	GTF2F1,GTF2F2,GTF2F1,1.240000
RHOB	ROCK1,RHOB,ROCK1,2.130000
HLA-DMA	HLA-DRB1,HLA-DMA,HLA-DRB1,1.480000
BIRC5	INCENP,BIRC5,INCENP,2.240000
GNAT3	MTNR1B,GNAT3,MTNR1B,2.320000
HIST2H2AA4	H2AFJ,HIST2H2AA4,H2AFJ,2.743030
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
CDC42	NGEF,CDC42,NGEF,1.800000
ARHGEF9	RHOC,ARHGEF9,RHOC,3.753460
HCK	PIK3R3,HCK,PIK3R3,2.380000
HERC2	UBA52,HERC2,UBA52,2.330000
H2AFX	HIST1H2BD,H2AFX,HIST1H2BD,2.820000
CBX5	HIST1H3E,CBX5,HIST1H3E,3.000000
LCK	VAV1,LCK,VAV1,2.920000
UBC	UBA3,UBC,UBA3,4.469840
CALM2	CAMK2D,CALM2,CAMK2D,4.780000
TUBAL3	TUBB1,TUBAL3,TUBB1,1.500000
IL6ST	LIFR,IL6ST,LIFR,1.930000
CALM2	CAMK2B,CALM2,CAMK2B,2.780000
CALM2	CAMK2G,CALM2,CAMK2G,4.780000
NLGN2	NRXN3,NLGN2,NRXN3,1.940000
LYN	CD247,LYN,CD247,3.437890
HLA-DPA1	HLA-DRB1,HLA-DPA1,HLA-DRB1,1.780000
RPS27A	TSG101,RPS27A,TSG101,2.330000
PDGFRB	PTPN11,PDGFRB,PTPN11,2.720000
TNFSF13	TNFRSF17,TNFSF13,TNFRSF17,1.900000
ARL1	GOLGA4,ARL1,GOLGA4,2.328050
CUL1	CUL3,CUL1,CUL3,1.800000
BCR	RHOA,BCR,RHOA,5.447490
PPP2CA	PPP2R5C,PPP2CA,PPP2R5C,3.040000
GNAT3	GNAI3,GNAT3,GNAI3,3.080000
UBE2D2	HERC4,UBE2D2,HERC4,1.640000
CAPZA2	CAPZB,CAPZA2,CAPZB,1.300000
LYN	PTPN6,LYN,PTPN6,2.860000
MAP2K7	MAP3K1,MAP2K7,MAP3K1,4.810000
RHOA	ARHGEF18,RHOA,ARHGEF18,2.360000
KRT75	KRT17,KRT75,KRT17,3.130000
IL1B	IL1R2,IL1B,IL1R2,3.380000
ADCY6	ADCY4,ADCY6,ADCY4,1.030000
RGS16	GNAI2,RGS16,GNAI2,2.400000
H2BFS	H2AFV,H2BFS,H2AFV,3.315770
ADCY2	GNAS,ADCY2,GNAS,2.660000
BCL2	BAD,BCL2,BAD,2.250000
GNAI2	RGS1,GNAI2,RGS1,2.400000
UBC	RBCK1,UBC,RBCK1,3.376720
LTA	TNFRSF14,LTA,TNFRSF14,1.800000
HIST1H2BK	HIST1H2AC,HIST1H2BK,HIST1H2AC,1.770000
PARK2	UBE2G2,PARK2,UBE2G2,2.130000
CD8A	HLA-B,CD8A,HLA-B,1.880000
KRT18	KRT84,KRT18,KRT84,1.370000
CD8A	HLA-C,CD8A,HLA-C,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
NRAS	BRAF,NRAS,BRAF,4.685430
CD8A	HLA-B,CD8A,HLA-B,1.880000
RPS4Y1	RPS4X,RPS4Y1,RPS4X,3.077810
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
EPHB3	EFNB3,EPHB3,EFNB3,1.460000
GRAP2	SYK,GRAP2,SYK,2.100000
EPHA4	EFNB3,EPHA4,EFNB3,1.460000
GNAT3	C5AR1,GNAT3,C5AR1,1.290000
MAPK3	DUSP4,MAPK3,DUSP4,3.310000
GRB2	SH3KBP1,GRB2,SH3KBP1,2.960000
UBC	WWP1,UBC,WWP1,2.330000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
GNGT2	GNB2,GNGT2,GNB2,2.160000
ARHGAP32	RHOC,ARHGAP32,RHOC,1.400000
CD8A	HLA-B,CD8A,HLA-B,1.880000
RAC1	ARHGEF4,RAC1,ARHGEF4,1.770000
HLA-B	B2M,HLA-B,B2M,3.657490
GNGT2	GNB1,GNGT2,GNB1,2.160000
CDK2	CCNA1,CDK2,CCNA1,1.320000
HIST1H3E	CBX3,HIST1H3E,CBX3,3.000000
LIF	IL6ST,LIF,IL6ST,1.680000
GNA11	RGS3,GNA11,RGS3,2.350000
GNB3	GNG12,GNB3,GNG12,3.240000
GNAI3	ADRA2A,GNAI3,ADRA2A,1.730000
GRIK3	GRIK5,GRIK3,GRIK5,1.860000
POLR2A	GTF2B,POLR2A,GTF2B,2.980000
LYN	KIT,LYN,KIT,2.770000
CD8A	HLA-B,CD8A,HLA-B,1.880000
BCL9	PYGO2,BCL9,PYGO2,2.640000
BRAF	KSR1,BRAF,KSR1,2.845240
LNX1	UBE2Z,LNX1,UBE2Z,2.740000
CD8A	HLA-A,CD8A,HLA-A,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
UBE2N	MIB2,UBE2N,MIB2,2.310000
EGFR	ERBB2,EGFR,ERBB2,6.440000
HLA-G	B2M,HLA-G,B2M,3.000000
RMI2	RMI1,RMI2,RMI1,1.820000
ROCK2	RHOA,ROCK2,RHOA,4.750000
CDK1	CCNA1,CDK1,CCNA1,2.970000
F12	GP1BA,F12,GP1BA,4.169460
CD8A	HLA-A,CD8A,HLA-A,1.880000
CD8A	HLA-A,CD8A,HLA-A,1.880000
CUL3	KLHL20,CUL3,KLHL20,2.120000
RHOA	ARHGEF19,RHOA,ARHGEF19,5.447490
UBE2E1	LRSAM1,UBE2E1,LRSAM1,1.460000
UBC	TRIP12,UBC,TRIP12,2.330000
DNM2	DNM3,DNM2,DNM3,2.010000
SKP1	FBXW7,SKP1,FBXW7,2.460000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
HLA-DRA	HLA-DRB1,HLA-DRA,HLA-DRB1,2.800000
UBC	HERC3,UBC,HERC3,3.473600
H2AFV	HIST1H2BM,H2AFV,HIST1H2BM,3.315770
RAC2	ARHGDIB,RAC2,ARHGDIB,1.460000
CUL5	BTBD1,CUL5,BTBD1,1.560000
CD4	LCK,CD4,LCK,1.250000
RAC2	ARHGDIA,RAC2,ARHGDIA,2.620000
UBB	UBE2G1,UBB,UBE2G1,3.770000
H2AFV	HIST1H2BN,H2AFV,HIST1H2BN,1.880000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
RHOC	ARHGAP8,RHOC,ARHGAP8,4.510000
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,1.640000
CDC42	PAK1,CDC42,PAK1,1.410000
TBL1X	TBL1XR1,TBL1X,TBL1XR1,3.620000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
UBE2K	WWP1,UBE2K,WWP1,1.310000
UBB	UBE2D4,UBB,UBE2D4,3.770000
SPTBN2	ACTR1A,SPTBN2,ACTR1A,1.900000
KRT14	KRT72,KRT14,KRT72,1.420000
RPS27A	HERC5,RPS27A,HERC5,2.330000
UBA7	UBA52,UBA7,UBA52,1.550000
PIK3R1	PIK3CA,PIK3R1,PIK3CA,1.130000
H3F3A	HIST2H2AA4,H3F3A,HIST2H2AA4,1.500000
UBC	HECTD2,UBC,HECTD2,2.330000
GNB1	PDCL,GNB1,PDCL,1.770000
RANBP2	UBE2I,RANBP2,UBE2I,1.850000
NRXN2	NLGN4X,NRXN2,NLGN4X,3.409900
GNB3	GNG11,GNB3,GNG11,1.410000
NOTCH2	MAML1,NOTCH2,MAML1,4.420000
EGFR	PTK6,EGFR,PTK6,2.060000
PTH	PTH1R,PTH,PTH1R,2.820000
UBE2E2	WWP1,UBE2E2,WWP1,1.650000
PLAU	SERPINB6,PLAU,SERPINB6,1.380000
KRT10	KRT2,KRT10,KRT2,1.300000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
H2BFS	HIST1H2AJ,H2BFS,HIST1H2AJ,1.070000
HLA-A	B2M,HLA-A,B2M,3.657490
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
UBC	GRB2,UBC,GRB2,2.700000
GNA14	EDNRB,GNA14,EDNRB,2.480000
JUN	ATF2,JUN,ATF2,1.990000
KRT15	KRT73,KRT15,KRT73,1.170000
MAPK14	MAPKAPK3,MAPK14,MAPKAPK3,2.240000
HIST2H2AA4	HIST1H2BN,HIST2H2AA4,HIST1H2BN,4.957030
CIT	RAC1,CIT,RAC1,3.260000
ADRB2	GNAS,ADRB2,GNAS,2.180000
HIST2H2AA4	HIST1H2BL,HIST2H2AA4,HIST1H2BL,1.530000
CACNB4	CACNB2,CACNB4,CACNB2,1.290000
TUBB4A	TUBA3C,TUBB4A,TUBA3C,1.250000
RHOA	VAV3,RHOA,VAV3,5.447490
GDNF	GFRA1,GDNF,GFRA1,5.450000
GJB1	GJB2,GJB1,GJB2,2.050000
CTNNA1	CTNNB1,CTNNA1,CTNNB1,2.410000
ADCY6	ADCY2,ADCY6,ADCY2,1.650000
FYN	NCK1,FYN,NCK1,4.480000
PPP1CC	PPP2R5B,PPP1CC,PPP2R5B,2.420000
TP53	TP53BP2,TP53,TP53BP2,4.752880
HLA-A	B2M,HLA-A,B2M,3.657490
UBE2C	UBB,UBE2C,UBB,3.770000
UBE2C	UBC,UBE2C,UBC,3.376720
EPHA3	EPHA5,EPHA3,EPHA5,2.650000
HIST2H4B	KMT5A,HIST2H4B,KMT5A,2.626500
TUBA3C	TUBB2A,TUBA3C,TUBB2A,1.680000
LILRA2	HLA-C,LILRA2,HLA-C,1.710000
SEMA6A	PLXNA4,SEMA6A,PLXNA4,1.250000
KRT75	KRT16,KRT75,KRT16,1.420000
DIAPH1	RHOA,DIAPH1,RHOA,4.630000
PLAT	SERPINE1,PLAT,SERPINE1,2.846640
HLA-A	B2M,HLA-A,B2M,3.657490
FGR	CD247,FGR,CD247,2.570000
KRT86	KRT25,KRT86,KRT25,3.620000
GNA14	GNB2,GNA14,GNB2,3.160000
GNAI2	C5AR1,GNAI2,C5AR1,2.420000
KRT86	KRT28,KRT86,KRT28,3.620000
MLH1	MLH3,MLH1,MLH3,1.760000
GNA14	GNB1,GNA14,GNB1,1.340000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
HIST2H3C	HIST1H2AC,HIST2H3C,HIST1H2AC,2.500000
GNAI2	MTNR1B,GNAI2,MTNR1B,2.320000
UBA7	RPS27A,UBA7,RPS27A,1.550000
PFN2	ACTG1,PFN2,ACTG1,7.284170
PAK4	RAC1,PAK4,RAC1,5.042980
HIST1H2BK	H2AFZ,HIST1H2BK,H2AFZ,1.770000
HIST1H3E	UHRF1,HIST1H3E,UHRF1,3.980000
ERBB2	MATK,ERBB2,MATK,2.290000
CD74	CTSL,CD74,CTSL,2.760000
SPTA1	ANK1,SPTA1,ANK1,1.940000
NCOA2	NCOA1,NCOA2,NCOA1,1.840000
NCOA1	NCOA3,NCOA1,NCOA3,3.560000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
UBE2G1	UBE3A,UBE2G1,UBE3A,1.690000
UBB	UBE2R2,UBB,UBE2R2,1.770000
GNAT1	PDE6G,GNAT1,PDE6G,1.430000
CHUK	PRKCQ,CHUK,PRKCQ,2.550000
UBA52	SH3RF1,UBA52,SH3RF1,7.230000
B2M	HLA-A,B2M,HLA-A,3.657490
RXRA	PPARGC1A,RXRA,PPARGC1A,3.095250
KRT25	KRT84,KRT25,KRT84,2.240000
LILRA2	HLA-B,LILRA2,HLA-B,1.710000
PARK2	UBE2D3,PARK2,UBE2D3,3.020000
CD8A	HLA-C,CD8A,HLA-C,1.880000
CDK4	CCND3,CDK4,CCND3,1.930000
CUL1	KEAP1,CUL1,KEAP1,2.740000
CDC34	ITCH,CDC34,ITCH,2.630000
RGS13	GNAI3,RGS13,GNAI3,3.960000
CBL	RPS27A,CBL,RPS27A,2.330000
PARK2	UBE2D1,PARK2,UBE2D1,1.800000
LMNA	LMNB1,LMNA,LMNB1,1.490000
CD8A	HLA-C,CD8A,HLA-C,1.880000
SNRPE	SNRPG,SNRPE,SNRPG,2.890000
