SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
CACNA1S	MAPK signaling pathway(K)
CACNA1S	Aldosterone synthesis and secretion(K)
CACNA1S	GnRH signaling pathway(K)
CACNA1S	Cardiac muscle contraction(K)
CACNA1S	Hypertrophic cardiomyopathy (HCM)(K)
CACNA1S	Alzheimer's disease(K)
CACNA1S	GABAergic synapse(K)
OR5H6	Olfactory transduction(K)
UBE2F	Ubiquitin mediated proteolysis(K)
PDHA2	Central carbon metabolism in cancer(K)
PDHA2	HIF-1 signaling pathway(K)
PDHA2	Pyruvate metabolism(K)
PDHA2	Citrate cycle (TCA cycle)(K)
PDHA2	Glycolysis / Gluconeogenesis(K)
PDHA2	Glucagon signaling pathway(K)
PDHA2	Metabolic pathways(K)
PDHA2	Carbon metabolism(K)
MGAM	Carbohydrate digestion and absorption(K)
MGAM	Galactose metabolism(K)
MGAM	Starch and sucrose metabolism(K)
MGAM	Metabolic pathways(K)
UBE2H	Ubiquitin mediated proteolysis(K)
UBE2I	MicroRNAs in cancer(K)
UBE2I	NF-kappa B signaling pathway(K)
UBE2I	Ubiquitin mediated proteolysis(K)
UBE2I	RNA transport(K)
VCAM1	NF-kappa B signaling pathway(K)
VCAM1	HTLV-I infection(K)
VCAM1	Cell adhesion molecules (CAMs)(K)
VCAM1	Malaria(K)
VCAM1	TNF signaling pathway(K)
VCAM1	AGE-RAGE signaling pathway in diabetic complications(K)
VCAM1	Leukocyte transendothelial migration(K)
VCAM1	African trypanosomiasis(K)
PDHA1	Central carbon metabolism in cancer(K)
PDHA1	HIF-1 signaling pathway(K)
PDHA1	Pyruvate metabolism(K)
PDHA1	Citrate cycle (TCA cycle)(K)
PDHA1	Glycolysis / Gluconeogenesis(K)
PDHA1	Glucagon signaling pathway(K)
PDHA1	Metabolic pathways(K)
PDHA1	Carbon metabolism(K)
OR5H2	Olfactory transduction(K)
UBE2B	Ubiquitin mediated proteolysis(K)
OR5H1	Olfactory transduction(K)
SYT1	Synaptic vesicle cycle(K)
UBE2C	Ubiquitin mediated proteolysis(K)
RPP40	RNA transport(K)
RPP40	Ribosome biogenesis in eukaryotes(K)
GGH	Folate biosynthesis(K)
GGH	Antifolate resistance(K)
UBE2A	Ubiquitin mediated proteolysis(K)
TJAP1	Tight junction(K)
GH2	PI3K-Akt signaling pathway(K)
GH2	Jak-STAT signaling pathway(K)
GH2	Neuroactive ligand-receptor interaction(K)
GH2	Cytokine-cytokine receptor interaction(K)
GH1	PI3K-Akt signaling pathway(K)
GH1	Jak-STAT signaling pathway(K)
GH1	Neuroactive ligand-receptor interaction(K)
GH1	Cytokine-cytokine receptor interaction(K)
UBE2W	Ubiquitin mediated proteolysis(K)
UBE2S	Ubiquitin mediated proteolysis(K)
UBE2T	Fanconi anemia pathway(K)
UBE2U	Ubiquitin mediated proteolysis(K)
BHLHE40	Circadian rhythm(K)
UBE2N	Ubiquitin mediated proteolysis(K)
UBE2O	Ubiquitin mediated proteolysis(K)
IL7R	FoxO signaling pathway(K)
IL7R	PI3K-Akt signaling pathway(K)
IL7R	Hematopoietic cell lineage(K)
IL7R	Jak-STAT signaling pathway(K)
IL7R	Primary immunodeficiency(K)
IL7R	Cytokine-cytokine receptor interaction(K)
UBE2K	Ubiquitin mediated proteolysis(K)
UBE2M	Ubiquitin mediated proteolysis(K)
LDB1	Transcriptional misregulation in cancer(K)
NGLY1	Protein processing in endoplasmic reticulum(K)
ADAR	Measles(K)
ADAR	Influenza A(K)
ADAR	Cytosolic DNA-sensing pathway(K)
GHR	PI3K-Akt signaling pathway(K)
GHR	Jak-STAT signaling pathway(K)
GHR	Neuroactive ligand-receptor interaction(K)
GHR	Cytokine-cytokine receptor interaction(K)
MAN1A2	Protein processing in endoplasmic reticulum(K)
MAN1A2	Metabolic pathways(K)
MAN1A2	N-Glycan biosynthesis(K)
MAN1A1	Protein processing in endoplasmic reticulum(K)
MAN1A1	Metabolic pathways(K)
MAN1A1	N-Glycan biosynthesis(K)
TGIF1	TGF-beta signaling pathway(K)
TGIF2	TGF-beta signaling pathway(K)
GIF	Vitamin digestion and absorption(K)
EPN1	Endocytosis(K)
EPN2	Endocytosis(K)
GIP	Insulin secretion(K)
EPN3	Endocytosis(K)
ATP6V1B2	Synaptic vesicle cycle(K)
ATP6V1B2	Phagosome(K)
ATP6V1B2	Epithelial cell signaling in Helicobacter pylori infection(K)
ATP6V1B2	Rheumatoid arthritis(K)
ATP6V1B2	Oxidative phosphorylation(K)
ATP6V1B2	Collecting duct acid secretion(K)
ATP6V1B2	Vibrio cholerae infection(K)
ATP6V1B2	Metabolic pathways(K)
ATP6V1B2	mTOR signaling pathway(K)
OR2AP1	Olfactory transduction(K)
OR2B11	Olfactory transduction(K)
MAN1B1	Protein processing in endoplasmic reticulum(K)
MAN1B1	Metabolic pathways(K)
MAN1B1	N-Glycan biosynthesis(K)
MS4A2	Asthma(K)
MS4A2	Phospholipase D signaling pathway(K)
MS4A2	Sphingolipid signaling pathway(K)
MS4A2	Fc epsilon RI signaling pathway(K)
FBP1	Fructose and mannose metabolism(K)
FBP1	Glycolysis / Gluconeogenesis(K)
FBP1	Glucagon signaling pathway(K)
FBP1	Metabolic pathways(K)
FBP1	Carbon metabolism(K)
FBP1	AMPK signaling pathway(K)
FBP1	Pentose phosphate pathway(K)
FBP1	Insulin signaling pathway(K)
MS4A1	Hematopoietic cell lineage(K)
FBP2	Fructose and mannose metabolism(K)
FBP2	Glycolysis / Gluconeogenesis(K)
FBP2	Metabolic pathways(K)
FBP2	Carbon metabolism(K)
FBP2	AMPK signaling pathway(K)
FBP2	Pentose phosphate pathway(K)
FBP2	Insulin signaling pathway(K)
IL9R	Hematopoietic cell lineage(K)
IL9R	Jak-STAT signaling pathway(K)
IL9R	Cytokine-cytokine receptor interaction(K)
ATP6V1B1	Synaptic vesicle cycle(K)
ATP6V1B1	Phagosome(K)
ATP6V1B1	Epithelial cell signaling in Helicobacter pylori infection(K)
ATP6V1B1	Rheumatoid arthritis(K)
ATP6V1B1	Oxidative phosphorylation(K)
ATP6V1B1	Collecting duct acid secretion(K)
ATP6V1B1	Vibrio cholerae infection(K)
ATP6V1B1	Metabolic pathways(K)
ATP6V1B1	mTOR signaling pathway(K)
AGPAT5	Phospholipase D signaling pathway(K)
AGPAT5	Glycerophospholipid metabolism(K)
AGPAT5	Metabolic pathways(K)
AGPAT5	Glycerolipid metabolism(K)
OR5M9	Olfactory transduction(K)
OR5M8	Olfactory transduction(K)
OR5M3	Olfactory transduction(K)
OR5M1	Olfactory transduction(K)
AGPAT1	Phospholipase D signaling pathway(K)
AGPAT1	Glycerophospholipid metabolism(K)
AGPAT1	Fat digestion and absorption(K)
AGPAT1	Metabolic pathways(K)
AGPAT1	Glycerolipid metabolism(K)
PPOX	Metabolic pathways(K)
PPOX	Porphyrin and chlorophyll metabolism(K)
AGPAT2	Phospholipase D signaling pathway(K)
AGPAT2	Glycerophospholipid metabolism(K)
AGPAT2	Fat digestion and absorption(K)
AGPAT2	Metabolic pathways(K)
AGPAT2	Glycerolipid metabolism(K)
AGPAT3	Phospholipase D signaling pathway(K)
AGPAT3	Glycerophospholipid metabolism(K)
AGPAT3	Metabolic pathways(K)
AGPAT3	Glycerolipid metabolism(K)
GK2	Metabolic pathways(K)
GK2	PPAR signaling pathway(K)
GK2	Glycerolipid metabolism(K)
AGPAT4	Phospholipase D signaling pathway(K)
AGPAT4	Glycerophospholipid metabolism(K)
AGPAT4	Metabolic pathways(K)
AGPAT4	Glycerolipid metabolism(K)
PABPN1	mRNA surveillance pathway(K)
PABPN1	Influenza A(K)
MKNK1	MAPK signaling pathway(K)
MKNK1	HIF-1 signaling pathway(K)
MKNK1	Insulin signaling pathway(K)
MKNK2	MAPK signaling pathway(K)
MKNK2	HIF-1 signaling pathway(K)
MKNK2	Insulin signaling pathway(K)
MAN1C1	Protein processing in endoplasmic reticulum(K)
MAN1C1	Metabolic pathways(K)
MAN1C1	N-Glycan biosynthesis(K)
RPP14	RNA transport(K)
ARFGEF1	Endocytosis(K)
ARFGEF2	Endocytosis(K)
FAHD1	Tyrosine metabolism(K)
FAHD1	Metabolic pathways(K)
OR5L2	Olfactory transduction(K)
OR5L1	Olfactory transduction(K)
05669	ABC transporters(K)
EPOR	PI3K-Akt signaling pathway(K)
EPOR	Hematopoietic cell lineage(K)
EPOR	Jak-STAT signaling pathway(K)
EPOR	Cytokine-cytokine receptor interaction(K)
REST	Signaling pathways regulating pluripotency of stem cells(K)
REST	Huntington's disease(K)
ACKR3	Cytokine-cytokine receptor interaction(K)
KRAS	Pathways in cancer(K)
KRAS	EGFR tyrosine kinase inhibitor resistance(K)
KRAS	Hepatitis B(K)
KRAS	Renal cell carcinoma(K)
KRAS	Breast cancer(K)
KRAS	Thyroid cancer(K)
KRAS	Oxytocin signaling pathway(K)
KRAS	Long-term depression(K)
KRAS	Apoptosis(K)
KRAS	Ras signaling pathway(K)
KRAS	Long-term potentiation(K)
KRAS	Acute myeloid leukemia(K)
KRAS	Melanoma(K)
KRAS	AGE-RAGE signaling pathway in diabetic complications(K)
KRAS	Prolactin signaling pathway(K)
KRAS	MicroRNAs in cancer(K)
KRAS	B cell receptor signaling pathway(K)
KRAS	T cell receptor signaling pathway(K)
KRAS	Phospholipase D signaling pathway(K)
KRAS	Serotonergic synapse(K)
KRAS	Longevity regulating pathway(K)
KRAS	Natural killer cell mediated cytotoxicity(K)
KRAS	Fc epsilon RI signaling pathway(K)
KRAS	Hepatitis C(K)
KRAS	Alcoholism(K)
KRAS	GnRH signaling pathway(K)
KRAS	Glioma(K)
KRAS	Central carbon metabolism in cancer(K)
KRAS	Non-small cell lung cancer(K)
KRAS	Estrogen signaling pathway(K)
KRAS	Signaling pathways regulating pluripotency of stem cells(K)
KRAS	Endocrine resistance(K)
KRAS	Thyroid hormone signaling pathway(K)
KRAS	Cholinergic synapse(K)
KRAS	ErbB signaling pathway(K)
KRAS	Longevity regulating pathway - multiple species(K)
KRAS	Gap junction(K)
KRAS	PI3K-Akt signaling pathway(K)
KRAS	Progesterone-mediated oocyte maturation(K)
KRAS	Proteoglycans in cancer(K)
KRAS	Dorso-ventral axis formation(K)
KRAS	Axon guidance(K)
KRAS	Rap1 signaling pathway(K)
KRAS	Pancreatic cancer(K)
KRAS	Viral carcinogenesis(K)
KRAS	mTOR signaling pathway(K)
KRAS	Colorectal cancer(K)
KRAS	Insulin signaling pathway(K)
KRAS	Tight junction(K)
KRAS	Chemokine signaling pathway(K)
KRAS	Bladder cancer(K)
KRAS	Prostate cancer(K)
KRAS	Melanogenesis(K)
KRAS	VEGF signaling pathway(K)
KRAS	FoxO signaling pathway(K)
KRAS	HTLV-I infection(K)
KRAS	Aldosterone-regulated sodium reabsorption(K)
KRAS	Regulation of actin cytoskeleton(K)
KRAS	Endometrial cancer(K)
KRAS	Neurotrophin signaling pathway(K)
KRAS	MAPK signaling pathway(K)
KRAS	Sphingolipid signaling pathway(K)
KRAS	Choline metabolism in cancer(K)
KRAS	Chronic myeloid leukemia(K)
SUGT1	NOD-like receptor signaling pathway(K)
ACKR1	Malaria(K)
GLA	Sphingolipid metabolism(K)
GLA	Galactose metabolism(K)
GLA	Lysosome(K)
GLA	Glycosphingolipid biosynthesis - globo and isoglobo series(K)
GLA	Glycerolipid metabolism(K)
ARPC5L	Fc gamma R-mediated phagocytosis(K)
ARPC5L	Regulation of actin cytoskeleton(K)
ARPC5L	Pathogenic Escherichia coli infection(K)
ARPC5L	Endocytosis(K)
ARPC5L	Salmonella infection(K)
ARPC5L	Bacterial invasion of epithelial cells(K)
ARPC5L	Shigellosis(K)
EPRS	Aminoacyl-tRNA biosynthesis(K)
EPRS	Metabolic pathways(K)
EPRS	Porphyrin and chlorophyll metabolism(K)
GLS	MicroRNAs in cancer(K)
GLS	Central carbon metabolism in cancer(K)
GLS	Alanine, aspartate and glutamate metabolism(K)
GLS	Arginine biosynthesis(K)
GLS	D-Glutamine and D-glutamate metabolism(K)
GLS	Metabolic pathways(K)
GLS	Glutamatergic synapse(K)
GLS	Proximal tubule bicarbonate reclamation(K)
GLS	GABAergic synapse(K)
AP1S2	Lysosome(K)
AP1S1	Lysosome(K)
AP1S3	Lysosome(K)
REV1	Fanconi anemia pathway(K)
SCRIB	Viral carcinogenesis(K)
SCRIB	Hippo signaling pathway(K)
GTPBP4	Ribosome biogenesis in eukaryotes(K)
ADPRM	Glycerophospholipid metabolism(K)
ADPRM	Purine metabolism(K)
GNE	Amino sugar and nucleotide sugar metabolism(K)
GNE	Metabolic pathways(K)
ANAPC13	Cell cycle(K)
ANAPC13	Oocyte meiosis(K)
ANAPC13	Progesterone-mediated oocyte maturation(K)
ANAPC13	Ubiquitin mediated proteolysis(K)
RPS4Y2	Ribosome(K)
SEH1L	RNA transport(K)
SEH1L	mTOR signaling pathway(K)
CTBP2	Pathways in cancer(K)
CTBP2	Notch signaling pathway(K)
CTBP2	Wnt signaling pathway(K)
CTBP2	Chronic myeloid leukemia(K)
CTBP1	Pathways in cancer(K)
CTBP1	Notch signaling pathway(K)
CTBP1	Wnt signaling pathway(K)
CTBP1	Chronic myeloid leukemia(K)
XPA	Nucleotide excision repair(K)
XPA	Platinum drug resistance(K)
XPC	Nucleotide excision repair(K)
ADH7	Tyrosine metabolism(K)
ADH7	Fatty acid degradation(K)
ADH7	Drug metabolism - cytochrome P450(K)
ADH7	Retinol metabolism(K)
ADH7	Metabolism of xenobiotics by cytochrome P450(K)
ADH7	Glycolysis / Gluconeogenesis(K)
ADH7	Metabolic pathways(K)
ADH7	Chemical carcinogenesis(K)
RPS4Y1	Ribosome(K)
GNS	Glycosaminoglycan degradation(K)
GNS	Lysosome(K)
GNS	Metabolic pathways(K)
ADH5	Tyrosine metabolism(K)
ADH5	Fatty acid degradation(K)
ADH5	Drug metabolism - cytochrome P450(K)
ADH5	Retinol metabolism(K)
ADH5	Metabolism of xenobiotics by cytochrome P450(K)
ADH5	Glycolysis / Gluconeogenesis(K)
ADH5	Metabolic pathways(K)
ADH5	Carbon metabolism(K)
ADH5	Chemical carcinogenesis(K)
ANAPC10	HTLV-I infection(K)
ANAPC10	Cell cycle(K)
ANAPC10	Oocyte meiosis(K)
ANAPC10	Progesterone-mediated oocyte maturation(K)
ANAPC10	Ubiquitin mediated proteolysis(K)
ADH6	Tyrosine metabolism(K)
ADH6	Fatty acid degradation(K)
ADH6	Drug metabolism - cytochrome P450(K)
ADH6	Retinol metabolism(K)
ADH6	Metabolism of xenobiotics by cytochrome P450(K)
ADH6	Glycolysis / Gluconeogenesis(K)
ADH6	Metabolic pathways(K)
ADH6	Chemical carcinogenesis(K)
ACMSD	Tryptophan metabolism(K)
ACMSD	Metabolic pathways(K)
ANAPC11	HTLV-I infection(K)
ANAPC11	Cell cycle(K)
ANAPC11	Oocyte meiosis(K)
ANAPC11	Progesterone-mediated oocyte maturation(K)
ANAPC11	Ubiquitin mediated proteolysis(K)
LDHC	Propanoate metabolism(K)
LDHC	Cysteine and methionine metabolism(K)
LDHC	Pyruvate metabolism(K)
LDHC	Glycolysis / Gluconeogenesis(K)
LDHC	Glucagon signaling pathway(K)
LDHC	Metabolic pathways(K)
OR5M11	Olfactory transduction(K)
LDHB	Propanoate metabolism(K)
LDHB	Cysteine and methionine metabolism(K)
LDHB	Pyruvate metabolism(K)
LDHB	Glycolysis / Gluconeogenesis(K)
LDHB	Glucagon signaling pathway(K)
LDHB	Metabolic pathways(K)
ADH4	Tyrosine metabolism(K)
ADH4	Fatty acid degradation(K)
ADH4	Drug metabolism - cytochrome P450(K)
ADH4	Retinol metabolism(K)
ADH4	Metabolism of xenobiotics by cytochrome P450(K)
ADH4	Glycolysis / Gluconeogenesis(K)
ADH4	Metabolic pathways(K)
ADH4	Chemical carcinogenesis(K)
OR5M10	Olfactory transduction(K)
LDHA	Central carbon metabolism in cancer(K)
LDHA	Propanoate metabolism(K)
LDHA	Cysteine and methionine metabolism(K)
LDHA	HIF-1 signaling pathway(K)
LDHA	Pyruvate metabolism(K)
LDHA	Glycolysis / Gluconeogenesis(K)
LDHA	Glucagon signaling pathway(K)
LDHA	Metabolic pathways(K)
LDHD	Pyruvate metabolism(K)
HMOX1	Mineral absorption(K)
HMOX1	MicroRNAs in cancer(K)
HMOX1	HIF-1 signaling pathway(K)
HMOX1	Porphyrin and chlorophyll metabolism(K)
PROM1	Transcriptional misregulation in cancer(K)
HMOX2	Mineral absorption(K)
HMOX2	Porphyrin and chlorophyll metabolism(K)
BARD1	Homologous recombination(K)
SETD1B	Lysine degradation(K)
SETD1A	Lysine degradation(K)
EPT1	Ether lipid metabolism(K)
EPT1	Glycerophospholipid metabolism(K)
EPT1	Metabolic pathways(K)
GP6	Platelet activation(K)
GP6	ECM-receptor interaction(K)
GP5	Platelet activation(K)
GP5	Hematopoietic cell lineage(K)
GP5	ECM-receptor interaction(K)
FOSL2	Osteoclast differentiation(K)
FOSL1	Osteoclast differentiation(K)
FOSL1	HTLV-I infection(K)
FOSL1	Wnt signaling pathway(K)
GP9	Platelet activation(K)
GP9	Hematopoietic cell lineage(K)
GP9	ECM-receptor interaction(K)
ADI1	Cysteine and methionine metabolism(K)
ADI1	Metabolic pathways(K)
TOLLIP	Toll-like receptor signaling pathway(K)
PPT1	Fatty acid elongation(K)
PPT1	Lysosome(K)
PPT1	Metabolic pathways(K)
PPT1	Fatty acid metabolism(K)
SNAI1	Adherens junction(K)
SNAI2	Adherens junction(K)
SNAI2	Hippo signaling pathway(K)
PPT2	Fatty acid elongation(K)
PPT2	Lysosome(K)
PPT2	Metabolic pathways(K)
PPT2	Fatty acid metabolism(K)
GPI	Amino sugar and nucleotide sugar metabolism(K)
GPI	Starch and sucrose metabolism(K)
GPI	Glycolysis / Gluconeogenesis(K)
GPI	Metabolic pathways(K)
GPI	Carbon metabolism(K)
GPI	Pentose phosphate pathway(K)
ARPC1B	Fc gamma R-mediated phagocytosis(K)
ARPC1B	Regulation of actin cytoskeleton(K)
ARPC1B	Pathogenic Escherichia coli infection(K)
ARPC1B	Endocytosis(K)
ARPC1B	Salmonella infection(K)
ARPC1B	Bacterial invasion of epithelial cells(K)
ARPC1B	Shigellosis(K)
ARPC1A	Fc gamma R-mediated phagocytosis(K)
ARPC1A	Regulation of actin cytoskeleton(K)
ARPC1A	Pathogenic Escherichia coli infection(K)
ARPC1A	Endocytosis(K)
ARPC1A	Salmonella infection(K)
ARPC1A	Bacterial invasion of epithelial cells(K)
ARPC1A	Shigellosis(K)
GPT	Biosynthesis of amino acids(K)
GPT	Alanine, aspartate and glutamate metabolism(K)
GPT	Arginine biosynthesis(K)
GPT	Metabolic pathways(K)
GPT	Carbon metabolism(K)
GPT	2-Oxocarboxylic acid metabolism(K)
TAF7L	Basal transcription factors(K)
TIMP3	MicroRNAs in cancer(K)
TIMP3	Proteoglycans in cancer(K)
TIMP1	HIF-1 signaling pathway(K)
TEAD1	Hippo signaling pathway -multiple species(K)
TEAD1	Hippo signaling pathway(K)
TEAD2	Hippo signaling pathway -multiple species(K)
TEAD2	Hippo signaling pathway(K)
TEAD3	Hippo signaling pathway -multiple species(K)
TEAD3	Hippo signaling pathway(K)
TEAD4	Hippo signaling pathway -multiple species(K)
TEAD4	Hippo signaling pathway(K)
NCOR2	Epstein-Barr virus infection(K)
NCOR2	Notch signaling pathway(K)
TAF6L	Basal transcription factors(K)
TAF6L	Herpes simplex infection(K)
NCOR1	Transcriptional misregulation in cancer(K)
NCOR1	Endocrine resistance(K)
NCOR1	Thyroid hormone signaling pathway(K)
PLEKHO2	Cytokine-cytokine receptor interaction(K)
MGLL	Regulation of lipolysis in adipocytes(K)
MGLL	Retrograde endocannabinoid signaling(K)
MGLL	Metabolic pathways(K)
MGLL	Glycerolipid metabolism(K)
SGMS1	Sphingolipid metabolism(K)
SGMS1	Sphingolipid signaling pathway(K)
SGMS1	Metabolic pathways(K)
NDUFA4L2	Non-alcoholic fatty liver disease (NAFLD)(K)
NDUFA4L2	Oxidative phosphorylation(K)
NDUFA4L2	Huntington's disease(K)
NDUFA4L2	Parkinson's disease(K)
NDUFA4L2	Metabolic pathways(K)
NDUFA4L2	Alzheimer's disease(K)
SGMS2	Sphingolipid metabolism(K)
SGMS2	Sphingolipid signaling pathway(K)
SGMS2	Metabolic pathways(K)
FAM213B	Metabolic pathways(K)
FAM213B	Arachidonic acid metabolism(K)
TAF9B	Basal transcription factors(K)
TAF9B	Herpes simplex infection(K)
LDLR	Bile secretion(K)
LDLR	Toxoplasmosis(K)
LDLR	Aldosterone synthesis and secretion(K)
LDLR	Hepatitis C(K)
LDLR	Endocytosis(K)
LDLR	Ovarian steroidogenesis(K)
RUNX1T1	Pathways in cancer(K)
RUNX1T1	Transcriptional misregulation in cancer(K)
RUNX1T1	Acute myeloid leukemia(K)
GSN	Fc gamma R-mediated phagocytosis(K)
GSN	Regulation of actin cytoskeleton(K)
GSN	Viral carcinogenesis(K)
00939	Thiamine metabolism(K)
00939	Purine metabolism(K)
00939	Metabolic pathways(K)
CSNK1A1	Wnt signaling pathway(K)
CSNK1A1	Hedgehog signaling pathway(K)
CSNK1A1	Breast cancer(K)
GSS	Cysteine and methionine metabolism(K)
GSS	Metabolic pathways(K)
GSS	Glutathione metabolism(K)
GSR	Thyroid hormone synthesis(K)
GSR	Glutathione metabolism(K)
SLC8A3	Calcium signaling pathway(K)
SLC8A3	Protein digestion and absorption(K)
SLC8A3	cGMP-PKG signaling pathway(K)
SLC8A3	Olfactory transduction(K)
KLKB1	Complement and coagulation cascades(K)
RAB3B	Tight junction(K)
MTFMT	One carbon pool by folate(K)
MTFMT	Aminoacyl-tRNA biosynthesis(K)
RAB3A	Synaptic vesicle cycle(K)
RAB3A	Insulin secretion(K)
PROS1	Complement and coagulation cascades(K)
RAB3D	Pancreatic secretion(K)
RPL10L	Ribosome(K)
IL5RA	Hematopoietic cell lineage(K)
IL5RA	Jak-STAT signaling pathway(K)
IL5RA	Cytokine-cytokine receptor interaction(K)
RPL10A	Ribosome(K)
SLC8A1	Mineral absorption(K)
SLC8A1	Calcium signaling pathway(K)
SLC8A1	Dilated cardiomyopathy(K)
SLC8A1	Endocrine and other factor-regulated calcium reabsorption(K)
SLC8A1	Adrenergic signaling in cardiomyocytes(K)
SLC8A1	Protein digestion and absorption(K)
SLC8A1	Arrhythmogenic right ventricular cardiomyopathy (ARVC)(K)
SLC8A1	Cardiac muscle contraction(K)
SLC8A1	cGMP-PKG signaling pathway(K)
SLC8A1	Olfactory transduction(K)
SLC8A1	Hypertrophic cardiomyopathy (HCM)(K)
CDC14A	Cell cycle(K)
CDC14B	Cell cycle(K)
SLC8A2	Calcium signaling pathway(K)
SLC8A2	Protein digestion and absorption(K)
SLC8A2	cGMP-PKG signaling pathway(K)
SLC8A2	Olfactory transduction(K)
PLXNC1	Axon guidance(K)
TXNL4A	Spliceosome(K)
SLC39A4	Mineral absorption(K)
RARS2	Aminoacyl-tRNA biosynthesis(K)
RAB2A	AMPK signaling pathway(K)
CSNK1G3	Hedgehog signaling pathway(K)
RAB31	Endocytosis(K)
LTB4R2	Calcium signaling pathway(K)
LTB4R2	Neuroactive ligand-receptor interaction(K)
EIF4E1B	EGFR tyrosine kinase inhibitor resistance(K)
EIF4E1B	PI3K-Akt signaling pathway(K)
EIF4E1B	Longevity regulating pathway(K)
EIF4E1B	RNA transport(K)
EIF4E1B	HIF-1 signaling pathway(K)
EIF4E1B	mTOR signaling pathway(K)
EIF4E1B	Insulin signaling pathway(K)
RAB35	Endocytosis(K)
SNRPG	Spliceosome(K)
SNRNP27	Spliceosome(K)
SNRPE	Spliceosome(K)
SNRPF	Spliceosome(K)
SNRPC	Spliceosome(K)
CSNK1G2	Hedgehog signaling pathway(K)
SNRPA	Spliceosome(K)
SNRPB	Spliceosome(K)
SNRPB	Systemic lupus erythematosus(K)
CSNK1G1	Hedgehog signaling pathway(K)
RAB5B	Tuberculosis(K)
RAB5B	Phagosome(K)
RAB5B	Vasopressin-regulated water reabsorption(K)
RAB5B	Ras signaling pathway(K)
RAB5B	Endocytosis(K)
RAB5B	Amoebiasis(K)
RAB5C	Tuberculosis(K)
RAB5C	Phagosome(K)
RAB5C	Vasopressin-regulated water reabsorption(K)
RAB5C	Ras signaling pathway(K)
RAB5C	Endocytosis(K)
RAB5C	Amoebiasis(K)
HSPBP1	Protein processing in endoplasmic reticulum(K)
PLXNA2	Axon guidance(K)
PLXNA1	Axon guidance(K)
SRGAP3	Axon guidance(K)
SRGAP2	Axon guidance(K)
SRGAP1	Axon guidance(K)
AP1M2	Lysosome(K)
PLXNA4	Axon guidance(K)
AP1M1	Lysosome(K)
PLXNA3	Axon guidance(K)
EIF2B5	RNA transport(K)
EIF2B4	RNA transport(K)
RAB4A	Endocytosis(K)
EIF2B3	RNA transport(K)
EIF2B2	RNA transport(K)
M6PR	Phagosome(K)
M6PR	Lysosome(K)
GFAP	Jak-STAT signaling pathway(K)
P4HA1	Arginine and proline metabolism(K)
P4HA1	Metabolic pathways(K)
P4HA2	Arginine and proline metabolism(K)
P4HA2	Metabolic pathways(K)
P4HA3	Arginine and proline metabolism(K)
P4HA3	Metabolic pathways(K)
PLXNB3	Axon guidance(K)
PLEKHM2	Salmonella infection(K)
PLXNB2	Axon guidance(K)
SLC26A7	Gastric acid secretion(K)
PLXNB1	Axon guidance(K)
SLC26A9	Mineral absorption(K)
SLC26A4	Thyroid hormone synthesis(K)
SLC26A3	Mineral absorption(K)
SLC26A3	Pancreatic secretion(K)
RAB5A	Tuberculosis(K)
RAB5A	Phagosome(K)
RAB5A	Vasopressin-regulated water reabsorption(K)
RAB5A	Ras signaling pathway(K)
RAB5A	Amyotrophic lateral sclerosis (ALS)(K)
RAB5A	Endocytosis(K)
RAB5A	Amoebiasis(K)
SLC26A6	Mineral absorption(K)
ADPGK	Glycolysis / Gluconeogenesis(K)
ADPGK	Metabolic pathways(K)
ADPGK	Carbon metabolism(K)
WDR3	Ribosome biogenesis in eukaryotes(K)
PIK3C2G	Phosphatidylinositol signaling system(K)
PIK3C2G	Inositol phosphate metabolism(K)
PIK3C2G	Metabolic pathways(K)
PIK3C2A	Phosphatidylinositol signaling system(K)
PIK3C2A	Inositol phosphate metabolism(K)
PIK3C2A	Metabolic pathways(K)
FTCD	One carbon pool by folate(K)
FTCD	Histidine metabolism(K)
FTCD	Metabolic pathways(K)
FCAR	Phagosome(K)
FCAR	Staphylococcus aureus infection(K)
PIK3C2B	Phosphatidylinositol signaling system(K)
PIK3C2B	Inositol phosphate metabolism(K)
PIK3C2B	Metabolic pathways(K)
AP1G2	Lysosome(K)
AP1G1	Lysosome(K)
SNRNP70	Spliceosome(K)
PIP5KL1	Inositol phosphate metabolism(K)
PIP5KL1	Endocytosis(K)
PIP5KL1	Metabolic pathways(K)
EIF2B1	RNA transport(K)
RFC5	Nucleotide excision repair(K)
RFC5	Mismatch repair(K)
RFC5	DNA replication(K)
RFC3	Nucleotide excision repair(K)
RFC3	Mismatch repair(K)
RFC3	DNA replication(K)
ADSL	Alanine, aspartate and glutamate metabolism(K)
ADSL	Purine metabolism(K)
ADSL	Metabolic pathways(K)
RFC4	Nucleotide excision repair(K)
RFC4	Mismatch repair(K)
RFC4	DNA replication(K)
RFC1	Nucleotide excision repair(K)
RFC1	Mismatch repair(K)
RFC1	DNA replication(K)
RFC2	Nucleotide excision repair(K)
RFC2	Mismatch repair(K)
RFC2	DNA replication(K)
CHPF2	Metabolic pathways(K)
CHPF2	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate(K)
PLEKHG5	Pathways in cancer(K)
RPL13A	Ribosome(K)
TFDP1	Cell cycle(K)
TFDP1	TGF-beta signaling pathway(K)
TFDP2	Cell cycle(K)
